residuals = [0.890664 ; 241.103, 0, -496.195, 2.38555, 0, 1.15915, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.485904, 0, 1, 0, -133.815, -35.7787, -177.007, 761.765, -9.56627]
residuals = [-4.91742 ; -87.7456, 0, 0, 0, 2.38555, -0.421854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.176837, 0, 1, 48.6999, 13.0211, 339.814, -177.007, 3.48149]
residuals = [2.98947 ; 181.343, -45.3359, -496.195, 2.38555, 0, 0.871843, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.365468, 0, 1, 0, -62.0503, -10.2282, -133.134, 444.931, -1.686]
residuals = [-6.50757 ; -87.7456, 21.9364, 124.049, 0, 2.38555, -0.421854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.176837, 0, 1, 30.0239, 4.94908, 234.202, -133.134, 0.815797]
residuals = [2.28274 ; 121.584, -60.7919, -496.195, 2.38555, 0, 0.584537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.245032, 0, 1, 0, -23.0456, -2.10434, -89.2612, 217.735, -0.192151]
residuals = [-7.17822 ; -87.7456, 43.8728, 248.098, 0, 2.38555, -0.421854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.176837, 0, 1, 16.6317, 1.51868, 158.47, -89.2612, 0.138673]
residuals = [2.16836 ; 61.8241, -46.3681, -496.195, 2.38555, 0, 0.297231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.124596, 0, 1, 0, -6.00547, -0.281029, -45.3884, 80.1793, -0.0131509]
residuals = [-9.0636 ; -87.7456, 65.8092, 372.146, 0, 2.38555, -0.421854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.176837, 0, 1, 8.52343, 0.398858, 112.618, -45.3884, 0.0186648]
residuals = [0.308245 ; 2.06445, -2.06445, -496.195, 2.38555, 0, 0.00992526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.00416057, 0, 1, 0, -0.134084, -0.00419529, -1.51563, 32.2629, -0.000131265]
residuals = [-9.61176 ; -87.7456, 87.7456, 496.195, 0, 2.38555, -0.421854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.176837, 0, 1, 5.69896, 0.178313, 96.6461, -1.51563, 0.00557915]
